25/10/2023,Majid Al Futtaim Dubai,********
18/10/2023,Majid Al Futtaim Dubai,********
18/10/2023,SPINNEYS AL BANDAR ABU DHABI,********
17/10/2023,Amazon ae Dubai,********
17/10/2023,TIER AE RIDE Berlin,********
17/10/2023,SEA VIEW GROCERY SOLE Abu Dhabi,********
16/10/2023,SPINNEYS AL BANDAR ABU DHABI,********
15/10/2023,UrbanCuts MenBarber Abu Dhabi,********
14/10/2023,CARREFOUR MAF MKT MCC ABU DHABI,********
14/10/2023,Brands For Less Dubai,********
14/10/2023,WINDMILL GENERAL TRADI ABU DHABI,********
14/10/2023,MINISO GENERAL TRADING ABUDHABI,********
14/10/2023,REDTAG ABU DHABI,********
14/10/2023,AMAN TAXI Abu Dhabi,********
14/10/2023,MCDONALDS MYCTY MASDAR ABUDHABI,********
13/10/2023,SPINNEYS AL BANDAR ABU DHABI,********
13/10/2023,Brands For Less Dubai,********
12/10/2023,NATIONAL TAXI Abu Dhabi,********
11/10/2023,Maltainen Metso Vantaa        EUR,********
11/10/2023,HSL Tikkurila As Silta Vantaa       EUR,********
11/10/2023,STOCKMANN TAMPERE TAMPERE         EUR,********
11/10/2023,MORO SKY BAR  SSH TORN TAMPERE        EUR,********
11/10/2023,K Supermarket Hameenka Tampere         EUR,********
11/10/2023,HMSHost Helsinki Airpo Helsinki        EUR,********
11/10/2023,PaulYasMallqlub Abu Dhabi,********
11/10/2023,TAWASUL TRANSPORT LLC Abu Dhabi,********
11/10/2023,DAISO JAPAN VALUE STOR DUBAI,********
10/10/2023,VR LIPPUKAUPPA Helsinki        EUR,********
10/10/2023,MORO SKY BAR  SSH TORN TAMPERE        EUR,********
10/10/2023,Naughty BRGR Tampere Tampere        EUR,********
9/10/2023,CESUMAR MARINGA         BRL,********
9/10/2023,CARREFOUR MAF MKT MCC ABU DHABI,********
9/10/2023,Brands For Less Dubai,********
8/10/2023,VR LIPPUKAUPPA Helsinki        EUR,********
8/10/2023,Arnolds Citycenter Helsinki        EUR,********
8/10/2023,HSL Lentoasema L    Vantaa       EUR,********
8/10/2023,VFI MFGA Ravintolat Oy TAMPERE        EUR,********
8/10/2023,S MARKET PENDOLIINO TAMPERE         EUR,********
8/10/2023,UBIGI COM PUTEAUX       EUR,********
8/10/2023,EL AND N RESTAURANT ABUDHABI,********
8/10/2023,ARABIA TAXI Abu Dhabi,********
